id,question,answer,condition,medical_specialty,question_type
0,Fazer aplicação de ácido hialurônico no ombro para melhorar o movimento da capsulite adesiva funciona?,"Pode funcionar,associado com fisioterapia.",Capsulite adesiva,Ortopedista - traumatologista,Tratamento
1,Fazer aplicação de ácido hialurônico no ombro para melhorar o movimento da capsulite adesiva funciona?,O bloqueio do movimento causado pela Capsulite Adesiva se deve a um encurtamento da cápsula articular devido a aderências fibrosas. A recuperação do arco de movimento é alcançado na maioria das vezes por um bom tratamento fisioterápico e pela própria evolução natural da doença (fase de descongelamento). Alguns casos refratários podem necessitar de liberação capsular cirúrgica.Não recomendo uso intra-articular de ácido hialurônico no tratamento da Capsulite Adesiva.,Capsulite adesiva,Ortopedista - traumatologista,Tratamento
2,Posso fazer uso regularmente de alupurinol diariamente para controlar o ácido úrico por muitos meses e até anos?,"Olá! Sim, pode ser necessário utilizar medicações para controle dos níveis de ácido úrico (como o alopurinol) durante muito tempo",Artrite Gotosa,"Reumatologista, Médico acupunturista",Tratamento
4,O que é artrite gotosa?o que provoca isto?,"Artrite gotosa é A inflamação de uma articulação causa da pelo acúmulo de cristais de ácido úrico.Esse acúmulo é motivado por uma alteração no metabolismo do ácido úrico, que faz com que a pessoa que tem gota produzir mais ácido úrico do que elimina, provocando este desequilíbrio na sua quantidade e consequentemente o seu acúmulo no sangue e em algumas estruturas, como articulações, rins e pele.",Artrite Gotosa,"Reumatologista, Especialista em dor, Internista",Diagnóstico
5,O que é artrite gotosa?o que provoca isto?,"A artrite gotosa é uma inflamação dentro da articulações que ocorre pelo depósito de ácido úrico na forma de monourato de sódio. Esta manifestação clínica faz parte de uma doença conhecida como Gota. A gota se caracteriza por aumento do ácido úrico no sangue e depósitos articulares ou extra-articulares de monourato de sódio.O excesso de ácido úrico no organismo pode ocorrer tanto por excesso de sua produção, quanto por redução de sua excreção (sendo este último o mecanismo responsável por cerca de 85 dos casos).",Artrite Gotosa,Reumatologista,Diagnóstico
6,Queria saber mulher pode ter artrite gotosa ? YE uma dúvida pode usa molho de tomate caseiro feito em casa ? No caso de ácido úrico altoPode usar azeite de oliva ?Estresse fator emocional eleva ácido úrico ?,"Olá bom dia! Embora seja bem menos frequente, artrite gotosa também pode acontecer em mulheres. Extrato de molho de tomate deve ser evitado, já o azeite de oliva pode ser usado. Estresse emocional não é considerado fator de risco para ácido úrico elevado",Artrite Gotosa,"Reumatologista, Médico acupunturista",Epidemiologia
7,Queria saber mulher pode ter artrite gotosa ? YE uma dúvida pode usa molho de tomate caseiro feito em casa ? No caso de ácido úrico altoPode usar azeite de oliva ?Estresse fator emocional eleva ácido úrico ?,"Apesar dessa doença predominar no sexo masculino, a gota também ocorre em mulheres, principalmente após a menopausa, sendo a faixa etária mais frequente no sexo feminino entre os 55 a 70 anos. O tomate pode alterar mas não é o alimento principal para interferir no nível de ácido úrico. Devem ser evitados certos alimentos como: bebidas alcoólicas, miúdos, proteínas de origem animal, refrigerantes ou comidas e bebidas ricas em frutoses (refrigerantes). Carne de porco, frutos do mar e condimentos salgados devem ser utilizados com moderação. A dieta ajuda, mas a terapia medicamentosa e o acompanhamento médico regular são fundamentais para um bom resultado do tratamento.",Artrite Gotosa,"Médico clínico geral, Reumatologista",Epidemiologia
8,Tenho gota e faço uso contínuo de Alopurinol 100mgdia por 2 anos. Agora houve elevação de TGOTGP. Isso é do remédio?,"Pouco provável, pois sua posologia é baixa. É necessário procurar outras causas, como a esteatose hepática , por exemplo, está muito associada a gota.",Artrite Gotosa,"Reumatologista, Especialista em dor, Internista",Tratamento
9,Tenho gota e faço uso contínuo de Alopurinol 100mgdia por 2 anos. Agora houve elevação de TGOTGP. Isso é do remédio?,"A elevação das transaminases (TGO, TGP) podem ter múltiplas causas, inclusive o uso da medicação sim, apesar de não ser a principal hipótese pela dose não ser alta. Poreém a combinação do alopurinol com outras medicações hepatotóxicas (como antiinflamatórios) ou o uso de álcool pode aumentá-las. Outra causa a ser investigada é a esteatose hepática (popularmente conhecida como gordura no fígado) que está associada em alguns casos com a presença da gota.",Artrite Gotosa,Reumatologista,Tratamento
10,No laudo da minha ressonancia deu Afilamento condral irregular nas areas de cargas significa que estou com condromalacia em qual grau ?,Você deve mostrar o exame para o médico que o solicitou estudar as imagens nos filmes e tirar as suas dúvidas.,Condromalácia,"Médico do esporte, Ortopedista - traumatologista",Diagnóstico
